1454,4223,1,1185,853,2625,2207,4032,1114,420,1678,2018,4305,385,3396,3494,1996,1397,1996,428,950,938,3594,3683,2474,950,938,61,2679,2625,4305,4163,3599,2018,4305,3703,3115,1706,2018,1139,3456,2479,44,2527,2244,950,938,4163,4305,3703,3703,2527,3856,1967,726,938,4163,2487,3703,3703,2527,1619,3115,4163,2487,3703,3703,1893,4305,3456,3703,3703,2527,4305,3703,3115,4163,3901,2264,4305,3456,3703,3703,2527,2194,2527,950,3683,655,786,1866,738,3658,4224,934,838,2389,3372,1677,1996,1397,4163,3459,1397,997,1694,2013,3016,1606,3856,3400,1397,3494,943,1996,1397,1139,2207,1114,420,3494,1996,1397,950,938,1406,2089,2556,4163,2182,3710,92,3459,1397,1654,3880,1979,1106,156,4339,3437,1155,938,3856,3276,771,2501,1694,990,120,2405,938,1866	0
1454,3505,385,4163,2126,3710,3659,2089,2782,3594,955,710,2695,2745,2159,4163,1694,1744,1850,1916,2625,4188,1406,385,167,2071,3920,2663,4027,4249,1745,3674,2822,3269,30,4032,4279,1466,4118,1967,3884,3050,4163,3463,1239,2663,2182,2612,4273,1866,3269,3441,2079,3408,1293,4147,2788,1583,1406,728,1404,2791,2791,2791,3710,1087,2663,1999,1087,2082,996,3644,3824,2574,1406,687,934,2275,3806,3276,2556,681,521,4123,113,4268,3441,572,2809,1406,3806,3710,4273,3149,4183,2791,2791,4118,2126,4340,1087,2663,1999,2867,1895,4163,1569,4273,2245,4050,2867,1895,1492,1492,1850,403,3745,3251,1850,3042	0
1454,2101,1696,1443,2354,3815,2791,4305,1678,1773,2101,3080,3165,412,1443,1529,2114,1618,650,938,3594,2569,63,3345,190,4208,4163,3090,3728,946,650,4254,650,650,938,4163,4305,1678,1773,710,2695,2101,3080,3617,3409,3311,4163,1789,3165,412,1443,1295,3762,2820,3703,3049,1529,2114,1866,4232,950,540,558,3703,3703,3703,3115,2159,2353,860,4163,4188,2182,650,4050,798,723,3091,1797,3564,4163,2799,1950,1211,1620,1770,1406,2126,2013,1866,3617,3409,3311,1916,2354,1104,460,3919,4050,681,678,2831,1508,4163,662,4349,3158,2264,1654,2431,385,2750,1866,2246,3970,4254,650,1406,687,1620,4163,2100,3246,2431,3824,2435,1229,1754,1406,2679,1002,1295,773,4268,273,930,930,2093,172,1706,1706,930,4078,3425,799,1706,1857,214,1857,902,1929,4305,1802	1
930,1436,3208,3091,3425,273,4000,4272,2592,460,3396,3238,3764,2127,282,1620,3149,4287,3652,4163,278,120,4060,2556,3425,273,4000,4272,2592,282,1211,930,1436,3208,3349,666,1068,1601,1601,1406,4404,2718,594,2090,440,4163,3425,273,4000,4272,2592,3888,2245,4107,4188,2569,320,1466,2556,1406,3824,3782,662,4188,3494,3628,2975,1797,2090,2126,2089,1406,2799,913,1866,3425,273,4000,4272,2592,3502,934,3352,363,930,1436,3208,1406,3141,1700,4163,1305,4188,1406,1693,44,1211,2354,1104,81,330,4163,508,631,2090,4188,1406,2030,1866,930,1436,3208,2822,3390,339,1959,387,4163,479,248,3161,1295,4163,4188,3888,444,2431,2601,4273,282,2327,1866,339,2139,2139,2674,2224,3396,1295,460,2082,898,4089,2625,1930,1930,4163,2901,1087,930,273,1436,4000,3091,3258,1436,3336,4272,1156,4268	1
3239,1215,2701,1916,1818,2114,3239,838,1466,2139,4163,3324,4048,248,462,2126,1789,1866,2901,2082,2556,2608,1575,4050,1732,2889,4163,4080,1620,644,1797,1406,1490,1211,248,1087,3149,1937,92,3324,4048,1177,2431,1406,3564,3418,1866,2799,3034,1620,3149,1406,1607,1789,4163,1083,1082,1732,1295,1406,1620,1770,92,1295,3324,4048,863,2923,1866,2923,1211,24,2989,1406,38,990,4163,1773,2018,2463,3559,439,4163,2100,3781,2264,4163,439,1211,2264,4163,759,1797,2264,4163,2105,1038,2264,1866,2036,2036,1818,2114,4163,1071,3108,2791,1024,1997,2047,1901,1850	1
3879,339,1305,1177,2139,460,3446,2087,1295,1492,1492	0
3239,1654,3181,1466,1996,2268,3701,3239,1454,3154,946,2680,738,1694,3715,2849,3963,2908,3594,4305,2479,3220,330,2907,2907,4254,210,687,4146,1996,428,1139,3456,2479,142,4032,3269,2792,946,3043,1952,4118,325,787,2207,4032,2680,738,1694,1139,558,2479,2680,738,1694,1203,445,3689,4033,2319,3392,2908,2867,2425,2084,1139,2820,2479,1350,2713,4028,3634,1297,3485,1788,1139,1619,2479,838,2389,762,275,4231,4231,3510,1139,2487,2479,838,2389,762,275,1678,4305,3644,174,1139,3176,2479,3043,2220,1823,2438,2084,2491,2867,2626,1240,2849,1139,214,2479,687,3912,934,1467,3759,3759,2867,2084,2491,2748,2636,1139,1678,2479,3573,3586,2487,4305,214,1751,2695,1180,1503,3459,2745,1596,4140,965,1139,4305,3703,2479,1276,3940,3903,2750,1788,3510,681,1004,1866	1
1454,2471,2034,4163,2516,3879,2100,1490,1211,460,2082,3459,1694,2101,4163,2801,2934,3801,2479,1165,278,1567,4399,3594,2569,3090,4188,4048,2556,1373,3497,3962,2479,3824,1373,1529,3459,4163,1683,3330,1295,568,1846,3998,1406,2431,3082,2536,1139,2569,3090,3953,2491,1893,1654,2479,1996,2742,3681,2622,4163,650,4050,1295,431,2566,135,4220,3672,2126,2182,2043,1139,2569,3090,2822,2773,4348,3090,2401,2401,2401,4163,998,3330,1295,3908,1080,2810,3005,786,2479,166,1080,2889,3005,2047,1406,3269,1529,404,4118,1139,2569,3090,3459,883,2556,1810,327,3658,2479,3370,4231,3510,3647,3370,2627,3510,3919,3108,4163,2100,2523,2126,2084,4165,2047,4188,859,3049,2264,1898,2479,3419,3419,1864,2559,1492,1492,1199,861,861,3814,861,861,861,973,861,861	1
3049,3611,1406,1694,1744,3879,339,1087,2110,4273,4183,2791,2791,2791,403,3794,4272,2906,1850,900,2556,4287,3869,1459,2226,3111,447,447,1415,1222,3005,3251,4231,3510,2625,3441,2258,136,3494,2889,3497,439,2110,1295,4163,2801,1552,1122,1443,1211,3108,1797,918,1797,2791,2791,2791	1
463,2308,2673,1087,2713,1009,776,105,200,3029,63,3237,1518,13,3019,3379,3618,1459,1575,1087,1849,3782,1406,3176,2018,4305,2820,385,2479,4305,1619,385,861,4305,2487,385,448,3049,4163,3599,656,860,3781,2816,4273,2430,2516,3879,1789,2193,1654,1490,2327,2404,45,1406,4244,2750,4163,248,572,3856,463,460,463,4244,2750,1406,387,1866,2471,2034,4048,2801,2810,3132,3132,1601,1601,4163,2035,2299,3644,723,2086,4287,587,2569,3090,3441,1087,4188,4048,3441,2082,2081,79,1406,838,2010,1269,763,1295,4305,3703,3703,3703,290,1466,2659,809,1866,2331,464,3856,463,1211,2308,3090,779,465,4163,2471,2034,3856,2822,463,2308,3090,444,1937,3091,2267,1665,3737,1997,24,2047,1901,1850,1199,1423,2903,4244,3954,1582	0
